['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:78', '00:00:00:00:00:8a', '0x0x806', '2', 'output=8']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:0e', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:87', '00:00:00:00:00:8a', '0x0x806', '5', 'output=8']
['1', '5', '0', '0', '9007199254740992', '00:00:00:00:00:6c', '00:00:00:00:00:8b', '0x0x806', '2', 'output=9']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:48', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:7f', '0x0x806', '8', 'output=3']
['1', '5', '0', '0', '9007199254740992', '00:00:00:00:00:70', '00:00:00:00:00:8b', '0x0x806', '2', 'output=9']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:2c', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:0a', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:4a', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:3d', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:35', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:79', '0x0x806', '8', 'output=2']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:47', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:56', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:8c', '0x0x806', '8', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:20', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:09', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:39', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:88', '0x0x806', '8', 'output=6']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:1b', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:82', '00:00:00:00:00:8a', '0x0x806', '3', 'output=8']
['1', '5', '42', '1', '9007199254740992', '00:00:00:00:00:69', '00:00:00:00:00:8b', '0x0x806', '1', 'output=9']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:8a', '00:00:00:00:00:7c', '0x0x806', '8', 'output=2']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:24', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:49', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:77', '00:00:00:00:00:8a', '0x0x806', '1', 'output=8']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:3b', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:1e', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:06', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '0', '0', '9007199254740992', '00:00:00:00:00:50', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '42', '1', '9007199254740992', '00:00:00:00:00:5b', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:4d', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:7e', '00:00:00:00:00:8a', '0x0x806', '2', 'output=8']
['1', '5', '0', '0', '9007199254740992', '00:00:00:00:00:6e', '00:00:00:00:00:8b', '0x0x806', '2', 'output=9']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:55', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:77', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:3e', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '42', '1', '9007199254740992', '00:00:00:00:00:65', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:30', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:27', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:76', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:16', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '1', '0', '0', '9007199254740992', '00:00:00:00:00:6f', '00:00:00:00:00:8c', '0x0x806', '2', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:31', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '4', '42', '1', '9007199254740992', '00:00:00:00:00:17', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '0', '0', '9007199254740992', '00:00:00:00:00:83', '00:00:00:00:00:8a', '0x0x806', '3', 'output=8']
['1', '5', '42', '1', '9007199254740992', '00:00:00:00:00:68', '00:00:00:00:00:8b', '0x0x806', '1', 'output=9']
['1', '5', '42', '1', '9007199254740992', '00:00:00:00:00:67', '00:00:00:00:00:8b', '0x0x806', '1', 'output=9']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:37', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '2', '42', '1', '9007199254740992', '00:00:00:00:00:3c', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
['1', '3', '42', '1', '9007199254740992', '00:00:00:00:00:36', '00:00:00:00:00:8c', '0x0x806', '1', 'output=10']
